id;numero_enseignant;specialisation;date_embauche;utilisateur_id
1;license unzip;without humble;2025-05-12;31639
2;consequently elegantly publication;across;2025-05-12;31677
3;barring nor;courageously midst;2025-05-11;6236
4;flimsy;omelet slide;2025-05-12;22740
5;whoever warm behind;unearth wherever um;2025-05-12;24376
6;upon silk safe;abseil excluding but;2025-05-12;32160
7;dimly tag;finally;2025-05-12;9252
8;wherever upsell;true;2025-05-11;24307
9;straw before;revere deer;2025-05-11;25679
10;replacement;lamp whoa;2025-05-11;16877
